frac_imb1_train,frac_imb1_test,sd_error,n_resamples,resample_to,n_sims,n_vox,frac_imb2_train,frac_imb2_test,n_trial1_train,n_trial1_test,n_trial2_train,n_trial2_test,mu_intercept,mu_me1,mu_me2,sd_intercept,sd_me1,sd_me2,mu_interaction,sd_interaction,sd_resample,fn
0.1,0.1,1,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,   1.csv
0.3,0.3,1,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,   2.csv
0.5,0.5,1,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,   3.csv
0.7,0.7,1,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,   4.csv
0.9,0.9,1,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,   5.csv
0.1,0.1,10,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,   6.csv
0.3,0.3,10,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,   7.csv
0.5,0.5,10,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,   8.csv
0.7,0.7,10,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,   9.csv
0.9,0.9,10,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,9.27352412157467,  10.csv
0.1,0.1,100,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  11.csv
0.3,0.3,100,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  12.csv
0.5,0.5,100,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  13.csv
0.7,0.7,100,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  14.csv
0.9,0.9,100,100,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,92.7352412157467,  15.csv
0.1,0.1,1,1000,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  16.csv
0.3,0.3,1,1000,50,100,100,0.5,0.5,50,50,50,50,0,0,0,0,0,0,0,0,0.927352412157467,  17.csv
